Section,Subsection,Title,URL
1. Background and Foundation,,"1.1 The History of PathwayConnect, Online Learning and the Creation of BYU-Pathway Worldwide",https://www.byupathway.edu/policies/handbook/1-1-the-history-of-pathwayconnect-online-learning-and-the-creation-of-byu-pathway-worldwide
1. Background and Foundation,,1.2 Institutes of Religion & PEF/ Self-Reliance Centers,https://www.byupathway.edu/policies/handbook/1-2-institutes-of-religion-pef-self-reliance-centers
1. Background and Foundation,,1.3 Program Objectives,https://www.byupathway.edu/policies/handbook/1-3-program-objectives
1. Background and Foundation,,1.4 Program Structure & Requirements,https://www.byupathway.edu/policies/handbook/1-4-program-structure-requirements
2. Admission and Tuition,,2.1 Application Process,https://www.byupathway.edu/policies/handbook/2-1-application-process-re
2. Admission and Tuition,,2.2 Admission Requirements,https://www.byupathway.edu/policies/handbook/2-2-admission-requirements-re
2. Admission and Tuition,,2.3 English Placement Assessment,https://www.byupathway.edu/policies/handbook/2-3-english-placement-assessment-re
2. Admission and Tuition,,2.4 Tuition & Financial Aid,https://www.byupathway.edu/policies/handbook/2-4-tuition-financial-aid-re
2. Admission and Tuition,,2.5 Returning Students,https://www.byupathway.edu/policies/handbook/2-5-returning-students-re
3. Courses and Registration,,3.1 Course Registration Process,https://www.byupathway.edu/policies/handbook/3-1-course-registration-process-re
3. Courses and Registration,,3.2 Courses & Sequences,https://www.byupathway.edu/policies/handbook/3-2-courses-sequences-re
3. Courses and Registration,,3.3 Course Auditing,https://www.byupathway.edu/policies/handbook/3-3-course-auditing-re
3. Courses and Registration,,3.4 Course Retakes and Returning Students,https://www.byupathway.edu/policies/handbook/3-4-course-retakes-and-returning-students-re
3. Courses and Registration,,3.5 BYU-Idaho Course Exceptions,https://www.byupathway.edu/policies/handbook/3-5-byu-idaho-course-exceptions-re
3. Courses and Registration,,3.6 Withdrawing from PathwayConnect,https://www.byupathway.edu/policies/handbook/3-6-withdrawing-from-pathwayconnect-re
3. Courses and Registration,,3.7 Non-Participating Students,https://www.byupathway.edu/policies/handbook/3-7-non-participating-students-re
3. Courses and Registration,,3.8 Students in Active Military Service,https://www.byupathway.edu/policies/handbook/3-8-students-in-active-military-service-re
3. Courses and Registration,,3.9 Students Going on Full-time Missions,https://www.byupathway.edu/policies/handbook/3-9-students-going-on-full-time-missions-re
4. Sites and Groups,,4.1 PathwayConnect Sites,https://www.byupathway.edu/policies/handbook/4-1-pathwayconnect-sites-re
4. Sites and Groups,,4.2 PathwayConnect Groups,https://www.byupathway.edu/policies/handbook/4-2-pathwayconnect-groups-re
5. Gatherings,,5. Gatherings,https://www.byupathway.edu/policies/handbook/5-gatherings-re
5. Gatherings,,5.1 Gathering Schedule,https://www.byupathway.edu/policies/handbook/5-1-gathering-schedule-re
5. Gatherings,,5.2 Gathering Calendar,https://www.byupathway.edu/policies/handbook/5-2-gathering-calendar-re
5. Gatherings,,5.3 Gathering Location,https://www.byupathway.edu/policies/handbook/5-3-gathering-location-re
5. Gatherings,,5.4 Facilitating the Gathering,https://www.byupathway.edu/policies/handbook/5-4-facilitating-the-gathering-re
5. Gatherings,,5.5 Gathering Standards,https://www.byupathway.edu/policies/handbook/5-5-gathering-standards-edu
6. Student Records,,6. Student Records,https://www.byupathway.edu/policies/handbook/6-student-records-ed
6. Student Records,,6.1 Transcripts,https://www.byupathway.edu/policies/handbook/6-1-transcripts-ed
6. Student Records,,6.2 Grading System & GPA,https://www.byupathway.edu/policies/handbook/6-2-grading-system-gpa-ed
6. Student Records,,6.3 Credits & Courses,https://www.byupathway.edu/policies/handbook/6-3-credits-courses-ed
6. Student Records,,6.4 Pathway Certificates,https://www.byupathway.edu/policies/handbook/6-4-pathway-certificates-ed
6. Student Records,,6.5 Confidentiality of Student Records,https://www.byupathway.edu/policies/handbook/6-5-confidentiality-of-student-records-ed
6. Student Records,,6.6 Other Policies & Procedures,https://www.byupathway.edu/policies/handbook/6-6-other-policies-procedures-ed
7. Leadership and Roles,,7. Leadership and Roles,https://www.byupathway.edu/policies/handbook/7-leadership-and-roles-e
7. Leadership and Roles,,7.1 Role of Local Leaders,https://www.byupathway.edu/policies/handbook/7-1-role-of-local-leaders-ed
7. Leadership and Roles,,7.2 Role of Service Missionaries,https://www.byupathway.edu/policies/handbook/7-2-role-of-service-missionaries-ed
7. Leadership and Roles,,7.3 Role of BYU-Idaho,https://www.byupathway.edu/policies/handbook/7-3-role-of-byu-idaho-ed
7. Leadership and Roles,,7.4 Role of PathwayConnect Administration,https://www.byupathway.edu/policies/handbook/7-4-role-of-pathwayconnect-administration-ed
8. Services,,8. Services,https://www.byupathway.edu/policies/handbook/8-1-byu-pathway-support-ed
8. Services,,8.1 BYU-Pathway Support,https://www.byupathway.edu/policies/handbook/8-1-byu-pathway-support-e
8. Services,,8.2 Tutoring,https://www.byupathway.edu/policies/handbook/8-2-tutoring-ed
8. Services,,8.3 Assistance for Students with Disabilities,https://www.byupathway.edu/policies/handbook/8-3-assistance-for-students-with-disabilities-ed
8. Services,,8.4 Services Not Available,https://www.byupathway.edu/policies/handbook/8-4-services-not-available-ed
9. Student Honor,,9.1 Honor Code,https://www.byupathway.edu/policies/handbook/9-1-honor-code-r
9. Student Honor,,9.2 Procedures for Handling Misconduct,https://www.byupathway.edu/policies/handbook/9-2-procedures-for-handling-misconduct-r
10. After PathwayConnect,,10. After PathwayConnect,https://www.byupathway.edu/policies/handbook/10-after-pathwayconnect-r
10. After PathwayConnect,,10.1 Online Certificates and Degrees,https://www.byupathway.edu/policies/handbook/10-1-online-certificates-and-degrees-r
10. After PathwayConnect,,10.2 Local Options,https://www.byupathway.edu/policies/handbook/10-2-local-options-r
11. Communication and Marketing,,11.1 BYU-Pathway Worldwide Website,https://www.byupathway.edu/policies/handbook/11-1-byu-pathway-worldwide-website-r
11. Communication and Marketing,,11.2 PATH,https://www.byupathway.edu/policies/handbook/11-2-path-r
11. Communication and Marketing,,11.3 Email,https://www.byupathway.edu/policies/handbook/11-3-email-r
11. Communication and Marketing,,11.4 Communication Resources,https://www.byupathway.edu/policies/handbook/11-4-communication-resources-r
11. Communication and Marketing,,11.5 Marketing Materials,https://www.byupathway.edu/policies/handbook/11-5-marketing-materials-r
12. Local Adaption,,12. Local Adaption,https://www.byupathway.edu/policies/handbook/12-local-adaption-r
